zone,year1,year2,p_value,AD fuller
NO1,2022,2022,0.0666609,-3.721462204875575
NO2,2022,2022,0.0294347,-4.023670917662214
NO3,2022,2022,0.0001034,-5.546853679692864
NO4,2022,2022,0.0,-7.643189709062853
NO5,2022,2022,0.0677135,-3.7152327491911907
NO1,2021,2022,0.0008451,-5.048920100238583
NO2,2021,2022,0.0010358,-4.99766733798224
NO3,2021,2022,5.04e-05,-5.706339344327466
NO4,2021,2022,0.0002024,-5.393055887440393
NO5,2021,2022,0.0008595,-5.044705942932234
NO1,2020,2022,4.1e-06,-6.233508505664998
NO2,2020,2022,4.5e-06,-6.216759482194052
NO3,2020,2022,0.0,-7.105249017284266
NO4,2020,2022,1e-07,-6.942013473169174
NO5,2020,2022,4.1e-06,-6.233641014055425
NO1,2019,2022,0.0,-7.388096344394337
NO2,2019,2022,0.0,-7.2974047703283285
NO3,2019,2022,0.0,-8.192043564628325
NO4,2019,2022,0.0,-7.43765652487316
NO5,2019,2022,0.0,-7.373264855637955
NO1,2018,2022,0.0,-7.892075175442624
NO2,2018,2022,0.0,-7.6118324736499225
NO3,2018,2022,0.0,-9.063299695111446
NO4,2018,2022,0.0,-8.152780520384114
NO5,2018,2022,0.0,-7.848529876153733
NO1,2017,2022,0.0,-7.297734826057887
NO2,2017,2022,1e-07,-7.009594209998746
NO3,2017,2022,0.0,-8.922146754468152
NO4,2017,2022,0.0,-7.79574432942743
NO5,2017,2022,0.0,-7.255231188375098
NO1,2016,2022,0.0,-7.152596247729063
NO2,2016,2022,1e-07,-6.925754100575088
NO3,2016,2022,0.0,-9.264275433496454
NO4,2016,2022,0.0,-8.505691015388987
NO5,2016,2022,0.0,-7.135251624029977
